name,goals,assists,minutes,influence,creativity,threat,ict,form,bps,clean,conceded
Folarin Balogun,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Cédric Alves Soares,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mohamed Elneny,0,1,1,1.8,0.5,2.0,0.4,0.0,12,0,0
Fábio Ferreira Vieira,1,3,236,79.4,63.6,77.0,21.9,0.0,62,1,2
Gabriel dos Santos Magalhães,1,0,1284,268.8,59.0,105.0,43.3,4.5,259,5,13
Kai Havertz,4,1,1092,217.0,207.7,278.0,70.3,4.2,146,4,12
Gabriel Fernando de Jesus,3,2,821,199.4,181.5,453.0,83.3,4.7,144,5,9
Jorge Luiz Frello Filho,0,0,383,50.6,64.7,9.0,12.4,0.3,66,1,6
Jakub Kiwior,0,0,247,43.4,11.2,18.0,7.4,0.5,58,1,5
Marcus Oliveira Alencar,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Gabriel Martinelli Silva,2,2,1156,231.2,425.9,401.0,105.3,3.2,185,5,13
Eddie Nketiah,5,3,842,201.0,107.1,297.0,59.4,1.2,175,6,6
Martin Ødegaard,4,4,1329,374.2,532.5,322.0,122.8,5.2,289,6,13
Thomas Partey,0,0,250,55.8,60.0,15.0,13.1,0.0,58,1,2
Nicolas Pépé,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Aaron Ramsdale,0,0,450,55.8,0.0,0.0,5.6,1.0,77,2,4
Rúnar Alex Rúnarsson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Bukayo Saka,5,8,1483,493.4,671.7,544.0,171.0,4.5,364,6,16
William Saliba,1,1,1620,338.4,63.4,55.0,45.8,3.2,349,7,16
Emile Smith Rowe,0,1,105,37.0,17.2,58.0,11.1,0.2,27,1,0
Kieran Tierney,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Takehiro Tomiyasu,1,1,583,124.4,54.0,57.0,23.3,3.0,134,3,4
Leandro Trossard,3,1,556,178.2,183.4,254.0,61.4,1.5,125,2,4
Benjamin White,1,2,1319,317.0,250.2,93.0,65.9,2.3,314,6,15
Granit Xhaka,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Oleksandr Zinchenko,1,1,1139,259.4,283.1,94.0,63.6,4.3,307,6,9
David Raya Martin,0,0,1170,179.4,0.0,0.0,17.9,2.2,216,5,12
Declan Rice,3,1,1563,400.6,222.0,166.0,78.9,3.2,324,7,15
Reiss Nelson,0,0,63,18.8,32.7,10.0,6.1,0.3,25,0,0
Jurriën Timber,0,0,49,3.6,2.4,0.0,0.6,0.0,3,0,0
Karl Hein,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Charles Sagoe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Reuell Walters,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Bradley Ibrahim,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Myles Lewis-Skelly,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Alexandre Moreno Lopera,1,0,135,58.8,6.0,79.0,14.3,2.3,28,0,2
Leon Bailey,5,5,693,295.2,227.3,238.0,76.0,4.3,190,3,9
Emiliano Buendía Stati,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Matty Cash,2,1,1262,292.6,135.4,284.0,71.2,0.8,231,3,18
Calum Chambers,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Philippe Coutinho Correia,0,0,24,4.0,2.8,12.0,1.8,0.0,7,0,1
Keinan Davis,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Leander Dendoncker,0,0,32,15.8,0.8,2.0,1.8,0.3,16,0,0
Diego Carlos Santos Silva,0,0,723,150.2,29.5,57.0,23.6,2.8,140,2,10
Lucas Digne,0,3,1472,270.6,448.4,112.0,83.1,3.3,278,5,20
Douglas Luiz Soares de Paulo,5,3,1473,431.6,398.2,211.0,104.1,3.7,364,4,21
Jhon Durán,2,0,136,75.0,29.9,65.0,16.6,0.5,62,0,1
Kortney Hause,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tim Iroegbunam,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Boubacar Kamara,0,1,1347,215.4,263.9,36.0,51.7,1.3,200,5,18
Ezri Konsa Ngoyo,0,1,1578,296.6,84.5,110.0,49.3,3.3,301,4,22
Emiliano Martínez Romero,0,0,1530,411.4,10.0,0.0,42.1,4.7,309,4,21
John McGinn,4,2,1531,351.4,412.7,208.0,97.4,3.2,278,4,20
Tyrone Mings,0,0,30,3.6,13.0,5.0,2.2,0.0,5,0,2
Robin Olsen,0,0,90,12.0,0.0,0.0,1.2,0.0,12,0,1
Jaden Philogene-Bidace,0,0,3,0.4,0.3,2.0,0.3,0.0,3,0,1
Jacob Ramsey,1,0,312,65.0,60.1,63.0,18.9,1.3,43,0,3
Morgan Sanson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Viljami Sinisalo,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Youri Tielemans,0,3,555,122.0,106.3,42.0,27.2,2.2,119,1,7
Bertrand Traoré,0,0,10,3.0,0.0,0.0,0.3,0.0,6,0,0
Ollie Watkins,9,9,1579,492.4,334.5,722.0,155.0,5.0,372,4,22
Wesley Moraes Ferreira da Silva,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Pau Torres,2,0,1489,310.8,120.7,103.0,53.5,3.7,301,4,19
Moussa Diaby,3,7,1192,267.4,349.4,380.0,99.7,2.0,229,4,17
Omari Kellyman,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Filip Marschall,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Nicolò Zaniolo,1,0,484,67.8,72.1,218.0,35.3,1.0,3,1,6
Oliwier Zych,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Clément Lenglet,0,0,90,14.0,16.4,6.0,3.6,0.3,12,0,1
Sam Proctor,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Tommi O'Reilly,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jaidon Anthony,0,0,151,9.0,4.6,16.0,3.0,0.0,4,0,5
Philip Billing,2,3,1115,260.4,229.3,207.0,69.6,4.0,183,1,28
David Brooks,1,0,240,62.0,82.6,87.0,23.3,0.2,51,0,4
Ryan Christie,0,2,1322,256.0,311.0,206.0,77.6,3.5,186,4,27
Lewis Cook,0,1,999,189.6,220.3,18.0,42.9,3.5,166,4,18
Siriki Dembélé,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ryan Fredericks,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
James Hill,0,0,15,0.0,1.8,0.0,0.2,0.0,1,0,0
Lloyd Kelly,0,0,681,119.6,68.5,8.0,19.5,0.0,137,2,14
Gavin Kilkenny,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Justin Kluivert,1,0,672,85.0,103.3,152.0,34.1,1.8,59,4,9
Jamal Lowe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Emiliano Marcondes,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Chris Mepham,0,0,175,34.8,12.5,21.0,6.9,0.2,25,0,6
Kieffer Moore,1,0,93,37.4,17.6,80.0,13.1,2.0,39,0,1
Norberto Murara Neto,0,0,1350,437.0,0.0,0.0,43.8,4.2,296,4,25
Dango Ouattara,0,0,316,66.0,73.0,112.0,25.3,1.0,38,1,7
Ben Pearson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Darren Randolph,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Joe Rothwell,0,0,380,45.8,63.9,5.0,11.6,0.5,54,0,12
Antoine Semenyo,3,2,743,184.0,139.0,297.0,61.9,2.2,132,3,13
Marcos Senesi,2,2,1025,364.2,124.4,53.0,54.4,8.5,226,3,22
Adam Smith,0,2,569,149.0,111.0,2.0,26.3,4.2,125,2,9
Dominic Solanke,11,1,1515,480.8,181.7,684.0,134.7,8.0,292,4,30
Marcus Tavernier,2,3,993,263.4,280.7,244.0,79.0,3.5,189,4,19
Hamed Traorè,0,0,44,12.8,14.8,30.0,5.7,0.0,10,0,1
Mark Travers,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Illia Zabarnyi,0,0,1530,307.4,24.0,26.0,35.7,3.2,267,4,32
Milos Kerkez,0,1,1160,187.0,104.1,30.0,32.1,4.2,159,3,26
Ionuț Radu,0,0,180,33.0,0.0,0.0,3.3,0.0,31,0,7
Ben Greenwood,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Max Aarons,0,1,949,149.4,95.0,20.0,26.5,0.0,161,2,24
Alex Scott,0,0,230,16.4,33.8,10.0,5.9,0.0,22,0,6
Tyler Adams,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Luis Sinisterra,1,1,280,93.0,80.0,130.0,30.3,2.2,63,1,7
Kristoffer Ajer,0,1,723,122.8,94.4,107.0,32.3,0.2,117,2,13
Ellery Balcombe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Shandon Baptiste,1,0,188,63.8,24.7,39.0,12.6,2.2,57,0,5
Mads Bech Sørensen,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mads Bidstrup,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Sergi Canós Tenés,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Nathan Collins,1,1,1013,273.6,47.7,99.0,42.2,0.0,221,3,17
Matthew Cox,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mikkel Damsgaard,0,0,165,37.8,30.8,36.0,10.5,1.0,17,1,0
Josh Dasilva,0,0,9,0.0,0.0,2.0,0.1,0.0,3,0,0
Halil Dervişoğlu,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mark Flekken,0,0,1395,339.6,0.0,0.0,33.9,2.4,269,3,22
Charlie Goode,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Rico Henry,0,1,401,72.8,67.9,17.0,15.7,0.0,74,1,5
Aaron Hickey,0,0,713,66.6,28.4,37.0,12.9,0.0,87,2,12
Vitaly Janelt,0,2,1376,199.2,294.2,129.0,62.2,2.6,198,4,17
Mathias Jensen,3,3,905,259.4,306.7,85.0,64.9,0.0,217,5,13
Keane Lewis-Potter,1,1,408,64.6,39.1,134.0,23.6,3.4,58,1,7
Bryan Mbeumo,7,4,1286,384.2,397.6,440.0,122.1,2.6,250,3,20
Ben Mee,1,1,672,156.4,68.6,63.0,28.8,3.4,116,0,13
Christian Nørgaard,1,1,1390,283.4,225.6,190.0,70.1,1.2,226,3,22
Frank Onyeka,0,1,705,133.2,120.5,101.0,35.4,1.2,82,1,17
Ethan Pinnock,1,0,1530,424.6,45.6,164.0,63.7,1.6,311,3,24
Mads Roerslev Rasmussen,0,0,600,110.2,91.8,13.0,21.6,0.6,106,1,10
Kevin Schade,1,1,255,48.2,42.0,62.0,15.1,0.0,40,1,2
Thomas Strakosha,0,0,135,42.8,0.0,0.0,4.3,0.0,24,0,2
Ivan Toney,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ryan Trevitt,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Yoane Wissa,3,2,1368,207.0,169.0,424.0,79.3,1.6,169,6,17
Yegor Yarmoliuk,0,0,290,44.6,32.1,65.0,14.2,1.6,38,2,2
Mathias Jorgensen,0,0,97,19.2,18.1,0.0,3.8,0.4,20,0,2
Neal Maupay,2,2,682,148.4,130.7,348.0,62.5,2.6,107,2,14
Michael Olakigbe,0,0,37,3.8,2.8,24.0,3.0,0.4,7,0,0
Ethan Brierley,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Saman Ghoddos,1,0,511,106.2,106.0,25.0,23.8,1.8,78,0,10
Ji-Soo Kim,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Valintino Adedokun,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Myles Peart-Harris,0,0,7,1.0,0.6,0.0,0.1,0.4,4,0,0
Vincent Angelini,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Simon Adingra,4,1,1139,276.8,271.9,345.0,89.2,3.4,191,0,23
Steven Alzate,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Yasin Ayari,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Facundo Buonanotte,1,1,369,74.2,72.6,53.0,20.0,2.2,44,0,6
Aaron Connolly,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mahmoud Dahoud,0,1,449,70.4,127.2,24.0,21.7,0.2,68,1,6
Lewis Dunk,1,0,1326,349.2,93.4,149.0,59.2,1.0,209,0,26
Julio Enciso,0,2,68,39.0,25.0,30.0,9.4,0.0,30,0,1
Pervis Estupiñán,1,3,495,162.8,177.9,110.0,45.0,0.0,112,0,10
Evan Ferguson,6,0,913,254.8,76.7,294.0,62.6,1.2,185,1,20
Billy Gilmour,0,3,1095,169.0,308.3,79.0,55.6,1.4,207,2,21
Pascal Groß,3,6,1371,484.4,709.8,264.0,145.9,5.4,325,1,21
João Pedro Junqueira de Jesus,5,1,958,300.2,216.0,438.0,95.5,2.2,190,1,18
Michał Karbownik,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kacper Kozłowski,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Adam Lallana,0,1,479,44.4,133.5,46.0,22.4,1.4,49,1,8
Tariq Lamptey,0,2,171,44.0,31.1,7.0,8.2,0.0,48,0,6
Solly March,3,1,555,197.4,126.5,139.0,46.4,0.0,134,2,11
Tom McGill,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
James Milner,0,1,521,103.8,148.6,29.0,28.2,1.2,92,1,10
Kaoru Mitoma,3,5,1320,294.2,346.3,547.0,118.9,2.0,211,0,25
Jakub Moder,0,0,26,8.6,0.4,0.0,0.9,0.4,11,0,0
Jeremy Sarmiento Morante,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kjell Scherpen,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jason Steele,0,0,810,204.6,0.1,0.0,20.5,0.6,143,0,17
Deniz Undav,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jan Paul van Hecke,0,0,1018,310.8,62.1,71.0,44.5,1.4,177,0,15
Joël Veltman,0,1,908,180.4,55.3,49.0,28.5,0.6,157,0,20
Bart Verbruggen,0,0,810,232.6,0.0,0.0,23.3,1.4,157,0,14
Adam Webster,0,0,540,108.6,26.6,19.0,15.5,0.0,89,0,13
Danny Welbeck,2,0,463,104.6,96.5,118.0,32.0,1.8,77,2,8
Andi Zeqiri,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Igor Julio dos Santos de Paulo,0,0,657,126.4,66.8,10.0,20.3,1.0,121,0,12
Jack Hinshelwood,1,0,436,84.8,52.6,133.0,27.0,3.0,60,0,12
Carlos Baleba,0,0,519,94.0,68.9,24.0,18.7,0.8,71,0,12
Anssumane Fati Vieira,2,0,286,97.0,54.5,176.0,32.7,0.0,55,1,6
Mark O’Mahony,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Benicio Baker-Boaitey,0,0,12,3.6,1.0,0.0,0.4,0.4,6,0,0
Ben Jackson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Joshua Duffus,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Leigh Kavanagh,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Luca Barrington,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Enock Agyei,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ameen Al-Dakhil,0,0,875,121.2,30.9,34.0,18.6,0.2,99,0,22
Samuel Bastien,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Manuel Benson Hedilazio,0,0,73,8.0,9.1,22.0,4.0,0.2,11,0,3
Jordan Beyer,0,1,1128,294.4,45.1,25.0,36.6,3.8,222,2,21
Josh Brownhill,3,0,1319,270.4,244.4,122.0,64.0,3.2,241,2,26
Darko Churlinov,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jack Cork,0,0,16,1.8,0.9,2.0,0.5,0.0,2,0,0
Dara Costelloe,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Josh Cullen,0,1,844,128.8,114.2,18.0,26.1,0.0,119,0,24
CJ Egan-Riley,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Hjalmar Ekdal,0,0,105,14.6,12.0,2.0,2.8,0.6,20,0,1
Lyle Foster,3,3,718,196.6,105.8,162.0,46.4,1.2,121,2,19
Denis Franchi,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Jóhann Berg Gudmundsson,0,1,651,107.0,328.9,66.0,50.3,0.6,98,1,11
Luke McNally,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Arijanet Muric,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Dara O'Shea,0,2,1207,316.2,73.5,89.0,48.1,3.6,212,2,30
Michael Obafemi,0,0,19,0.0,0.6,17.0,1.7,0.2,4,0,0
Bailey Peacock-Farrell,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Connor Roberts,0,1,754,136.2,92.8,8.0,23.6,0.4,107,0,21
Jay Rodriguez,2,1,695,129.8,50.7,206.0,38.0,3.0,98,1,14
Charlie Taylor,1,1,1260,247.0,110.7,28.0,38.7,3.6,208,2,23
Bobby Thomas,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Scott Twine,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lawrence Vigouroux,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Victor da Silva,0,0,955,91.8,60.4,41.0,19.3,3.4,115,2,18
Wout Weghorst,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Anass Zaroury,0,0,135,3.8,31.6,19.0,4.8,0.0,5,0,4
Sander Berge,1,1,1327,236.0,163.4,90.0,49.0,3.4,187,2,29
Zeki Amdouni,2,1,1228,209.0,152.1,300.0,66.2,3.8,130,4,22
James Trafford,0,0,1620,592.0,0.1,0.0,59.3,5.6,364,2,36
Nathan Redmond,0,0,127,23.4,52.0,16.0,9.1,0.8,35,0,4
Luca Koleosho,1,2,972,86.8,147.9,213.0,44.5,1.8,80,3,23
Jacob Bruun Larsen,2,0,441,106.0,161.7,142.0,40.6,2.6,85,1,8
Owen Dodgson,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Wilson Odobert,3,1,403,169.4,94.8,102.0,36.6,4.6,121,1,10
Hannes Delcroix,0,0,309,56.8,37.5,42.0,13.6,0.4,55,0,13
Aaron Ramsey,0,0,255,23.2,21.3,24.0,6.7,0.2,33,0,8
Han-Noah Massengo,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mike Trésor,0,0,314,32.0,92.9,24.0,15.0,1.0,47,0,6
Moisés Caicedo Corozo,0,0,1183,174.8,148.6,27.0,34.6,1.8,160,3,19
Robert Sánchez,0,0,1433,450.6,0.1,0.0,45.2,3.2,317,3,25
Ethan Ampadu,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Kepa Arrizabalaga,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Pierre-Emerick Aubameyang,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
César Azpilicueta,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Abdul Rahman Baba,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Benoît Badiashile,0,1,370,108.8,36.0,25.0,16.9,3.0,88,1,9
Marcus Bettinelli,0,0,0,0.0,0.0,0.0,0.0,-0.2,-3,0,0
Armando Broja,1,1,303,38.6,26.0,98.0,15.8,1.2,45,1,5
Trevoh Chalobah,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ben Chilwell,0,1,334,57.0,136.4,88.0,28.1,0.0,66,1,5
Carney Chukwuemeka,1,0,125,34.8,25.1,39.0,9.9,0.0,23,0,2
Levi Colwill,1,1,1360,283.2,95.5,153.0,53.2,3.4,280,4,20
Marc Cucurella Saseta,0,0,703,148.4,92.3,58.0,29.9,0.6,104,1,14
Enzo Fernández,2,1,1253,256.0,281.5,248.0,78.5,3.8,197,4,21
David Datro Fofana,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Wesley Fofana,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Conor Gallagher,0,5,1417,309.2,375.7,157.0,83.7,0.6,262,4,24
Malo Gusto,0,2,618,115.4,99.8,38.0,25.3,0.4,139,2,8
Reece James,0,1,386,115.2,156.9,59.0,33.2,0.4,95,0,12
Romelu Lukaku Bolingoli,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
Noni Madueke,0,0,129,12.0,49.1,45.0,10.6,0.2,25,0,4
Mykhailo Mudryk,2,3,730,140.0,199.8,136.0,47.4,3.0,132,4,10
Nicolas Jackson,7,1,1269,343.6,191.1,589.0,112.0,3.0,197,4,22
Christopher Nkunku,1,0,32,38.2,3.2,62.0,10.3,1.4,27,0,1
